页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4926666146580522,中国新闻网,2023-07-23 14:03:25,【行走的思政课 | 在中共二大会址重温一盏“明灯”指引革命方向】上海老成都北路7弄30号，是中共二大会址所在地。1922年，中国共产党第二次全国代表大会在此召开，第一次提出党的民主革命纲领，第一次提出党的统一战线政策，制定了第一部《党章》……跟中共二大会址纪念馆研究部负责人倪娜、宣陈部负责人赵晨雯上一堂思政课，重温明灯指路的红色记忆。  中国新闻网的微博视频,10,5,50,,,,
1,4793970939661666,新京报我们视频,2022-07-22 10:00:02,【正在直播：#探访中共二大会址纪念馆#】1922年7月，在上海召开了中国共产党第二次全国代表大会，制定了中国共产党的首部党章，首次明确提出党的反帝反封建的民主革命纲领、首次提出党的统一战线思想。2022年，正值中共二大召开100周年，也是第一部党章诞生100周年，新京报带你走进二大会址纪念馆，一起回顾历史，重温红色岁月。#互联护苗##首部党章诞生100周年# 新京报我们视频的微博视频,14,7,50,,,,
1,4975535525987387,浙江机电职业技术学院,2023-12-05 10:32:53,浙江机电职业技术学院#浙机电·校园动态# 为深入学习贯彻习近平新时代中国特色社会主义思想主题教育，重温党的诞生历程，从百年党史中汲取新征程中的奋进力量，近日，我校数字商贸学院党总支组织全体党员前往中国共产党第一次、第二次全国代表大会会址纪念馆参观学习，通过实践性、沉浸式的学习教育，重走初心路，永远跟党走，奋进新征程。,1,0,6,,,,
1,4613696887718200,上海发布,2021-03-11 22:55:18,【上海市首批革命文物名录公布！数数你知道多少？】#最新# 市文旅局今日正式公布《上海市第一批革命文物名录》，其中包括：中国共产党第一次全国代表大会会址（含宿舍旧址）、中国共产党第二次全国代表大会会址、中国社会主义青年团中央机关旧址等150处不可移动革命文物；1920年9月出版的陈望道译《共产党宣言》、1949年5月上海市人民政府成立时的第一块招牌等208件/套可移动革命文物。具体名单详见↓ 上海市首批革命文物名录公布！数数你知道多少？,25,2,20,,,,
1,4926961342742658,海曙检察,2023-07-24 09:36:24,【行走的思政课 | 在中共二大会址重温一盏“明灯”指引革命方向】上海老成都北路7弄30号，是中共二大会址所在地。1922年，中国共产党第二次全国代表大会在此召开，第一次提出党的民主革命纲领，第一次提出党的统一战线政策，制定了第一部《党章》……跟中共二大会址纪念馆研究部负责人倪娜、宣陈部负责人赵晨雯上一堂思政课，重温明灯指路的红色记忆。 网页链接,0,0,0,,宁波,浙江,中国
1,4824168702677807,天津市场监管,2022-10-13 17:55:10,【带您读懂中国共产党历次全国代表大会】来源：光明网1921年7月23日晚，中国共产党第一次全国代表大会在上海正式开幕。出席大会的代表13人，代表全国50多名党员。中共一大会址1922年7月，中国共产党第二次全国代表大会在上海召开，出席大会代表共12名，代表全国195名党员。之后截止到建国前，中国共产党又召开了中共三大、四大、五大、六大、七大，由于战争等因素，会议地点从广州、上海到武汉，从莫斯科到延安，出席大会人数和党员人数与日俱增。中共七大的时候，共有代表755人，代表全国121万党员。建国之后，历次党代会均在北京，并且逐渐开始形成了每5年举行一届的传统。今年，中国共产党第二十次全国代表大会召开在即，代表选举工作已经顺利完成。全国各选举单位分别召开党代表大会或党代表会议，共选举产生了2296名出席党的二十大代表。从一大到二十大、从南湖红船到人民大会堂、从13名党代表到两千多名党代表、从50多名党员到世界第一大执政党……今天，一个历经风雨洗礼的百年大党，发挥千锤百炼铸就的独特优势，正以永不懈怠的精神状态、一往无前的奋斗姿态，为实现中华民族伟大复兴而扬帆远航、砥砺前行。2022年10月16日，中国共产党第二十次全国代表大会将在北京开幕，让我们共同期待！ 天津市场监管的微博视频,3,0,1,,天津,天津,中国
1,4808194923171231,灵璧清风,2022-08-30 16:01:04,#深度关注#【党章百年】1922年7月16日至23日，中国共产党第二次全国代表大会在这里召开，会上讨论通过了《中国共产党章程》。这是中国共产党成立后的第一部章程，标志着党的创立工作圆满完成。一部党章百年征程。百年后的今天，记者走进二大会址纪念馆，于古朴的建筑里、珍贵的文物中，追寻那段波澜壮阔的红色往事。详见→Succeeded！,0,0,0,,宿州,安徽,中国
1,4794054564643156,三秦学子,2022-07-22 15:32:19,#三秦学子学党史# 【正在直播：#探访中共二大会址纪念馆#】1922年7月，在上海召开了中国共产党第二次全国代表大会，制定了中国共产党的首部党章，首次明确提出党的反帝反封建的民主革命纲领、首次提出党的统一战线思想。2022年，正值中共二大召开100周年，也是第一部党章诞生100周年，新京报带你走进二大会址纪念馆，一起回顾历史，重温红色岁月。#互联护苗##首部党章诞生100周年# 新京报我们视频的微博视频,0,0,0,,西安,陕西,中国
1,4793959610846151,上海检察,2022-07-22 09:15:01,【走进中共二大会址纪念馆，聆听党章百年历程】1922年7月16日至23日，中国共产党第二次全国代表大会在上海召开，讨论并通过了《中国共产党章程》。今年是中国共产党首部党章诞生100周年，让我们跟随上海市静安区人民检察院干警来到静安区老成都北路7弄30号中共二大会址纪念馆，一起了解党章的百年历程，学党史、悟初心、践使命，弘扬伟大建党精神，凝聚新时代奋进力量。走进中共二大会址纪念馆，聆听党章百年历程 上海检察的微博视频,9,0,1,,上海,上海,中国
1,4791980842293184,上海奉贤发布,2022-07-16 22:12:06,【上海：纪念首部党章诞生百年 主题邮局亮相二大纪念馆】一百年前的今天，中国共产党第二次全国代表大会在上海召开，会上延生了中国共产党首部党章。为纪念这个特殊的日子，弘扬伟大建党精神，今天（7月16日）上午，设在中共二大会址纪念馆内的&quot;主题邮局&quot;正式揭幕。SMGNEWS的微博视频 ,6,1,1,,上海,上海,中国
1,4720212718914411,箐山碧水,2021-12-30 21:11:12,党史学习教育应知应会 | 老父亲谎称儿子亡故，将秘密埋进“衣冠冢”         上海静安区繁华的闹市里，一排灰白色的石库门建筑在绿树映衬下显得庄重而静谧，这里是中国共产党第二次全国代表大会会址纪念馆。当年，就是在这里通过了第一部《中国共产党章程》，会后铅印成册，仅200本。 ,0,0,0,,,,
1,4719689219967460,成都生态环境,2021-12-29 10:31:00,【党史百年丨老父亲谎称儿子亡故，将秘密埋进“衣冠冢”】上海静安区繁华的闹市里，一排灰白色的石库门建筑在绿树映衬下显得庄重而静谧，这里是中国共产党第二次全国代表大会会址纪念馆。当年，就是在这里通过了第一部《中国共产党章程》，会后铅印成册，仅200本。作为早期党员的张静泉也得到了一本。这份被他视若珍宝的册子辗转30年后又回到了这里，承载着中国共产党人的初心，陈列在纪念馆里。而随着这本册子一起被揭开的，还有一段不为人知的“秘密”。党史百年丨老父亲谎称儿子亡故，将秘密埋进“衣冠冢”,1,5,2,,,,
