页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4918715965243394,于洪发布,2023-07-01 15:32:13,【喜迎“七一” | 区民政局开展庆“七一”主题参观活动】#一路向北有多美##沈阳英雄城# 为庆祝中国共产党成立102周年，6月30日，区民政局组织机关党员干部集中参观了中共满洲省委旧址纪念馆，并重温入党誓词。党员干部怀着十分崇敬的心情，参观了中共满洲省委历史陈列馆、刘少奇生平展区和刘少奇旧居。每到一处，大家都停下脚步，认真倾听、详细询问，回顾革命历程，追忆峥嵘岁月，缅怀革命先烈。区民政局将以此次参观活动为契机，继承和发扬革命先烈们不畏艰险、敢于斗争、知难而进、奋勇向前的优良品质，推动于洪民政事业各项工作再上新台阶。#振兴新突破 我要当先锋##发现沈阳之美#,2,0,3,,沈阳,辽宁,中国
1,4912124239806654,北京市侨联,2023-06-13 10:59:03,#基层侨联# 【酒仙桥街道侨联组织归侨侨眷参观香山双清别墅】　　6月7日上午，朝阳区酒仙桥街道侨联组织归侨侨眷赴香山参观革命旧址——双清别墅。　　在讲解员在带领下，归侨侨眷们先后来到毛泽东、朱德、刘少奇、周恩来、任弼时等革命先驱的旧居，看到他们曾经生活居住的地方，虽是领导人，但艰苦奋斗的作风，令人满怀景仰和崇敬之情，由此展现了党的优良传统和作风。　　通过参观学习，深刻感到毛泽东等老一辈革命家高瞻远瞩、胸怀天下的革命情怀令人折服；运筹帷幄、指点江山的大智慧更令人钦佩。大家纷纷表示，从党的光辉历史中汲取砥砺奋进的精神力量，坚定不移听党话、矢志不渝跟党走，不断增强信仰信念信心，以实际行动践行初心使命，为推动地区各项事业发展做出积极贡献。,0,0,0,,北京,北京,中国
1,4909030126915248,三峡日报,2023-06-04 22:04:10,#宜昌#6月2日至4日，宜昌天宇工程咨询有限公司党支部组织全体党员与员工前往湖南长沙、韶山开展了“追寻红色足迹.传承革命精神 ”为主题的党建带团建红色教育活动。活动中，先后参观了毛泽东、刘少奇等老一辈革命家旧居、纪念馆，接受传统教育，缅怀革命先烈，传承红色基因，汲取奋进力量。（三峡日报全媒记者何宝喜，通讯员黄瀚）,0,0,6,,宜昌,湖北,中国
1,4889646003127168,河南商报,2023-04-12 10:18:35,#修好共产党人心学# 在渑池刘少奇旧居，陈列着一本经典著作《论共产党员的修养》，一代代中国共产党人，正是从这本书中汲取智慧和力量，淬炼自己的思想和灵魂。党性教育是共产党人修身养性的必修课，也是共产党人的“心学”。当前，要把习近平新时代中国特色社会主义思想转化为坚定理想、锤炼党性和指导实践、推动工作的强大力量。#今豫网言 再现这部著作的诞生历史，重温来时路，启航新征程。《论共产党员的修养》诞生记｜焦点网谈,2,0,1,,郑州,河南,中国
1,4836819345081031,湖北经典音乐广播,2022-11-17 15:44:17,#文化武汉#【汉口中华全国总工会旧址纪念馆17日对外开放】11月17日，汉口中华全国总工会旧址纪念馆将正式对公众开放。纪念馆由中华全国总工会旧址、湖北全省总工会旧址和刘少奇同志旧居三栋老建筑组成。其中中华全国总工会旧址、湖北全省总工会旧址是同一个院内的两栋西式建筑，位于江岸区友益街16号，为全国重点文物保护单位。刘少奇同志旧居位于友益街尚德里1号，为武汉市文物保护单位，与中华全国总工会旧址一条马路之隔。,0,0,0,,武汉,湖北,中国
2,4786095662829753,921都市广播,2022-06-30 16:26:30,党史评书《福安巷三号》第二季2022年7月1号在沈阳广播电视台全媒体新闻中心FM92.1沈阳都市广播广播、FM104.5沈阳新闻广播同时上线播出。2021年，由中共沈阳市委宣传部，中共满洲省委旧址纪念馆、刘少奇旧居纪念馆及沈阳广播电视台全媒体新闻中心共同推出了党史评书《福安巷三号》第一季。10集党史评书一经推出，马上获得社会各界强烈反响！作品先后受到国家广电总局、辽宁广播电视总局好评及中共沈阳市委宣传部阅评表扬，并成为东北地区唯一入选《国家广播电视总局2021年第三季度广播电视创新创优节目》。这种秉承着“小切口、大呈现”的理念，通过评书这种老百姓喜闻乐见的艺术形式讲述发生在沈城市民身边的红色故事，激发听众共鸣的形式，无疑是成功的。2022年《福安巷三号》第二季继续创作推出10集原创党史短评书，并赶在“七一”陆续上线播出。党史短评书《福安巷三号》第二季内容更权威，选题更典型，形式更新颖，故事更细腻，播讲更精彩： 921都市广播的微博视频,0,0,0,,沈阳,辽宁,中国
2,4785758215341854,江苏民政,2022-06-29 18:05:36,【走进#江苏省第二批100个红色地名# ——刘少奇旧居】1942年6月17日，时任中共中央政治局候补委员、华中局书记、新四军政委的刘少奇随中共山东分局和八路军115师师部转移到赣榆县第五区大树村。抗日战争时期的大树村，是远近闻名的堡垒村，群众基础好。刘少奇在大树村工作期间，患有严重的胃病，他不顾疲劳，经常通宵达旦地工作，指导大树村成立了赣榆第一个雇工组织——职工会，发动群众开展减租减息运动，组织召开了一系列重要会议。虽然他在此工作、生活仅有短短25天，却给当地人民留下了长久的回忆和宝贵的精神财富。1992年10月6日，黑林镇党员干部和人民群众自发捐款，维修了刘少奇同志当年的旧居，建起了纪念室。2018年10月，为纪念刘少奇同志诞辰120周年，黑林镇再次修缮少奇同志旧居，重新进行布展。 江苏民政的微博视频,1,1,1,,南京,江苏,中国
2,4784354818263395,连云港电视台_在你身边,2022-06-25 21:09:00,"【成就宣传】我市6处地名上榜江苏第二批100个红色地名6月15日，江苏第二批100个红色地名发布。我市海州区的“海曙亭”、赣榆区的“刘少奇旧居”“符竹庭将军殉国纪念处”、东海县的“磨山抗日烈士纪念塔”、灌云县的“灌云县烈士陵园”、灌南县的“灌南县烈士陵园”6个红色地名入选。红色地名中的红色文化，见证着中华民族百年沧桑，凝聚着党的光荣和辉煌历史，如同革命先辈埋下的“种子”，在城乡各个角落生根发芽，唤醒红色记忆、传承红色文化、激发红色能量。今年3月，省民政厅联合省委党史工办等5部门开展全省第二批100个红色地名征集活动，各地共上报209个红色地名。经过推荐征集、部门会商、研究确定和社会公示等程序，最终确定第二批100个红色地名,主要包含党史人物故居、重要战斗遗址、革命烈士陵园、地方党组织诞生地等，其中不少是百姓耳熟能详的红色地名。红色地名凝聚着红色足迹、红色故事，承载着中国共产党在港城风云激荡的百年历史，也将激励着人们在新时代的征程中不忘初心、奋发进取。下一步，市民政局将进一步完善红色地名文化标识，充分利用红色资源，开展红色文化教育，让红色地名成为激发爱国热情、振奋民族精神的生动教材。",0,0,0,,连云港,江苏,中国
2,4783941645238361,文明_三门峡体育,2022-06-24 17:47:11,"【三门峡市体育局开展“庆七一”红色教育活动】为推进党史学习教育常态化开展，在中国共产党建党101周年之际，6月24日，市体育局组织全局党员三十余人到渑池县刘少奇旧居、八路军渑池兵站旧址等党性教育基地进行参观学习。在红色教育基地,市体育局党员干部进一步了解了《论共产党员的修养》的形成背景、过程和重大历史价值和现实意义,以及中国共产党成长壮大的辉煌历程和改革开放后我国经济社会发展所取得的巨大成就，共同追寻红色记忆，缅怀革命先辈，真切感受先辈们不屈不挠、追求信仰、奋斗不息的革命精神。并且在鲜艳的党旗下，重温入党誓言，庄重宣誓。活动结束后，大家纷纷表示，要把革命传统教育同做好体育本职工作结合起来，把党史学习教育成果转化为干事创业的动力、举措和成效，满怀信心奋进新征程、建功新时代，以实际行动迎接党的二十大胜利召开，不断开创全市体育事业发展新局面。",0,0,1,,三门峡,河南,中国
2,4776632243720072,国网湖北电力,2022-06-04 13:42:15,#鄂电新闻#【精心施工，名人旧居换新貌】5月31日17时25分，国网武汉供电公司既济汉口分公司承接的“刘少奇旧居周边强电迁改工程”成功送电。该项目是全国总工会、省市总工会以及江岸区人民政府重点项目，施工点为老旧城区，道路狭窄、人车交错、环境复杂。为确保圆满完成任务，该公司反复研究施工方案，仔细勘察现场，周密组织施工，仅用9天时间就顺利完工。（阮进红 张伟）,288,253,106,,武汉,湖北,中国
2,4774925556256994,连云港法院,2022-05-30 20:40:29,#连云港法院动态# 【“喜迎二十大 奋进新征程”赓续红色精神】5月30日，连云港市中级人民法院老干部三个支部党员代表30余人前往连云港市赣榆区黑林镇大树村刘少奇旧居纪念馆开展“喜迎二十大  奋进新征程”赓续红色精神参观学习教育活动。连云港市中级人民法院党组成员、副院长唐涛，老干部处处长吴登怀参加活动。“喜迎二十大 奋进新征程”赓续红色精神,1,1,0,,连云港,江苏,中国
2,4714756894361801,连云港生态环境,2021-12-15 19:51:42,【辐射站开展“强化党建引领 锻造铁军队伍”主题党日活动】 12月9日，辐射站党支部以“强化党建引领，锻造铁军队伍”为主题开展党日活动，组织全体党员干部前往刘少奇旧居、八路军115师在大树陈列馆、大树村史馆等地参观。辐射站开展“强化党建引领 锻造铁军队伍”主题党日活动 ,0,0,2,,,,
2,4684635499400149,连云港发布,2021-09-23 17:00:01,【革命文物故事汇④——刘少奇旧居】为庆祝中国共产党建党100周年，充分展示中国共产党百年光辉历程和伟大成就，连云港市文广旅局与市广播电视台联合打造《红色记忆——红色文物》系列电视纪录片。今日推出革命文物故事汇系列第四集《刘少奇旧居》。（来源：连云港市文化广电和旅游局） 连云港发布的微博视频,1,1,2,,,,
