页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
1,4640083443712029,CCTV纪录,2021-05-23 18:26:03,#山河岁月#【#你不了解的天蟾剧场#】天蟾舞台是上海历史最悠久的戏剧演出场所之一。直到近来大规模翻修这座剧场，才发现这里竟隐藏一道暗门，连通着隔壁的中共中央政治局机关旧址。1928年，这里表面上是一家布行“福兴商号”，实际上却是中央政治局开会的地方。一旦发现可疑迹象，参会者就可以从后门撤离，和剧场观众一同消失在人流中。中央广播电视总台百集文献纪录片《山河岁月》，5月18日起在CCTV-1 20:00档、@CCTV9纪录 21:00档每天两集播出，敬请关注。 CCTV9纪录的微博视频,1067,234,3486,,,,
1,4257350279477046,钟山清风,2018-07-02 15:01:07,#廉政史鉴#【中共中央政治局机关旧址故事】在地处上海闹市区的云南中路上，有一排坐西朝东钢筋水泥结构的两层沿街楼房，它就是80多年前，中共中央政治局机关旧址。它不但见证了惊心动魄的政治风云，还催生了一段浪漫的传世良缘。↓↓ ,10,0,0,,,,
1,4921993662567415,上海规划资源,2023-07-10 16:36:38,【云上邨：中共临时中央政治局机关旧址】# 档案# 中共临时中央政治局机关旧址位于上海市静安区奉贤路290弄1号（原云上邨）。1931年9月，中共临时中央政治局在上海成立，当时俗称“临时中央”。1931年至 1932年间，今上海市静安区奉贤路290弄1号成为临时中央政治局常委的秘密联络点，柯庆施住楼上，名义上是房东，机关工作人员应修人夫妇住楼下。博古、张闻天、康生等常到此开会。陈云作为临时中央政治局成员，后又担任临时中央政治局常委，经常来此办公。详情点击【档案】云上邨：中共临时中央政治局机关旧址,0,0,0,,上海,上海,中国
1,4799114892545792,上海黄浦,2022-08-05 14:40:16,【感受先辈爱情，黄浦区七夕集体结婚颁证】8月4日是传统的七夕佳节，不少新人选择在这一天走进婚姻的殿堂。8月4日上午，黄浦区在中共中央政治局机关旧址（1928-1931）举行以“爱在黄浦，红色露天博物馆”为主题的2022年黄浦区结婚登记集体颁证仪式，三对新人在红色革命遗址感受了革命先辈们在革命生涯中忠贞不渝的爱情故事。（记者：刘惠明）,0,0,1,,上海,上海,中国
1,4729117712322965,东方日记本,2022-01-24 10:56:28,【红色故事·馆长说（52）：三年间，这座红色中枢见证了中国革命的风云变幻】云南中路171-173号，这里地处上海闹市区，紧邻天蟾逸夫舞台，曾是党的最高领导机关所在地，也是中共中央机关在上海使用时间最长的一处办公地。让我们走进中共中央政治局机关旧址（1928-1931年），聆听白色恐怖下红色中枢的故事。红色故事 | 馆长说（52）三年间，这座红色中枢见证了中国革命的风云变幻,0,0,0,,,,
1,4682314501849147,网信南阳,2021-09-17 07:17:12,#山河岁月#【#你不了解的天蟾剧场#】天蟾舞台是上海历史最悠久的戏剧演出场所之一。直到近来大规模翻修这座剧场，才发现这里竟隐藏一道暗门，连通着隔壁的中共中央政治局机关旧址。1928年，这里表面上是一家布行“福兴商号”，实际上却是中央政治局开会的地方。一旦发现可疑迹象，参会者就可以从后门撤离，和剧场观众一同消失在人流中。#南阳网信学党史# @CCTV9纪录  CCTV9纪录的微博视频,0,0,0,,,,
1,4672301759726387,上海三中院,2021-08-20 16:10:08,#教育整顿# 为深入推进党史学习教育，抓紧抓实队伍教育整顿学习教育，引导广大干警传承红色基因，学习和发扬革命斗争精神，8月19日，上海三中院（知产法院、铁路中院）组织参观中共中央政治局机关旧址（1928-1931年），党组书记、院长陈亚娟率班子成员、副处级以上领导干部参加。 上海三中院组织参观中共中央政治局机关旧址 ,0,0,0,,,,
1,4658576553417076,长沙政法频道,2021-07-13 19:11:05,#奋斗百年路 启航新征程·热血湘女#【长沙广电大型融媒体视听节目《奋斗百年路 启航新征程·热血湘女》第十三集：隐蔽战线杰出代表、红色巾帼朱端绶】在地处上海闹市区的云南中路上，有一排坐西朝东钢筋水泥结构的两层沿街楼房，它就是80多年前，中共中央政治局机关使用时间最长的一处旧址。它不但见证了惊心动魄的政治风云，还催生了一段浪漫的传世良缘。而这段传世良缘的主人公就是朱端绶、熊瑾玎。  长沙政法频道的微博视频,0,0,8,,,,
1,4650170907628047,石家庄文旅之声,2021-06-20 14:30:03,【西柏坡故事 | 这里是立规矩的地方】#石家庄身边事#在西柏坡中共中央机关旧址，有一间长方形、不足百平方米的土黄色平房，是当年中央机关的食堂，也是中共中央政治局9月会议会址。西柏坡时期，解放战争形势发生重大变化。小规模的游击战争过渡到大规模的战争，原本分散的根据地，变为统一的大解放区。战争形势的变化，要求在组织纪律方面作出相应的加强。为此，在九月会议上，毛泽东再次强调请示报告制度、强化纪律的重要性。  西柏坡故事 | 这里是立规矩的地方,0,4,4,,,,
1,4648314932822254,STV新闻透视,2021-06-15 11:35:03,【新闻透视：#革命旧址风云#（三）：隐蔽战线】在熙熙攘攘的福州路云南中路，天蟾逸夫舞台边的这扇小门里藏着的故事，你一定想不到。时光拨回至近百年前，在当时白色恐怖的艰难环境中，中共中央政治局机关，中共中央秘书处机关，中共中央特科机关等机构，身处逆境，忠于使命，留下一个个动人故事。《革命旧址风云》的最后一集，让我们去“五址”中的另外三个旧址，去了解那段惊心动魄的隐蔽战线上的斗争。 STV新闻透视的微博视频,0,0,4,,,,
